,ImageName,BlueReference,GreenReference,RedReference,BlueSample,GreenSample,RedSample,Dilution Factor
211,IMG_212,5.40638891,104.2325774,160.8440443,20.60272734,119.8687561,154.5019965,3
212,IMG_213,6.366016221,99.2200273,159.0813459,19.82429937,117.31117,152.0831125,3
213,IMG_214,6.4964495,102.4855567,161.3459497,21.84154054,119.6626874,154.5957507,3
214,IMG_215,5.43406714,101.4228041,160.6938492,20.61938847,116.6748619,151.9024352,3
215,IMG_216,5.998634867,102.6897936,160.0941139,37.664097,123.8855697,150.7333976,4
216,IMG_217,6.686298919,104.9799269,165.6146425,39.88615987,124.5380848,154.1545242,4
217,IMG_218,5.746176448,104.4727643,162.2628645,38.45382401,122.8470396,150.2957286,4
218,IMG_219,7.555639268,108.3103292,165.8665712,42.33569809,126.9635047,155.51737,4
219,IMG_220,6.346417539,104.9344534,163.7299782,40.41821743,126.1267234,153.2224064,4
220,IMG_221,4.533952409,100.1725396,155.7946273,52.72861913,123.2842222,144.2986902,5
221,IMG_222,5.100451767,98.93834706,163.5374258,55.59087407,126.0450304,149.3466313,5
222,IMG_223,5.597847908,102.5942343,158.2501405,55.62631292,124.6459192,144.7443398,5
223,IMG_224,6.760882182,104.6376752,162.0763618,59.09724564,127.516502,148.9143178,5
224,IMG_225,6.673658077,99.07353822,155.6185258,56.81170716,122.2151563,144.4956471,5
225,IMG_226,6.527061742,104.2860306,162.7564886,81.26744286,131.9805667,148.0369831,6
226,IMG_227,5.507503524,102.5459746,160.8769588,75.87869189,127.9967469,145.0413492,6
227,IMG_228,6.143591106,102.010807,160.2365134,75.71202055,127.5383116,144.1994862,6
228,IMG_229,7.14181947,102.8321375,161.2866507,77.82451944,129.3799274,146.0089468,6
229,IMG_230,6.220196096,103.9529918,160.8968203,74.80423421,126.6523164,143.3871025,6
230,IMG_231,4.051473541,99.88870152,159.1341845,91.76487593,128.7240022,139.6834498,7
231,IMG_232,2.422709387,99.37637517,158.5936722,89.62654633,126.5383957,138.1920174,7
232,IMG_233,3.118661945,104.7271905,164.0168764,93.62600768,129.7186017,143.417238,7
233,IMG_234,3.920822292,103.5401911,162.7818196,92.57174978,129.3397575,143.6086887,7
234,IMG_235,3.850758644,103.5022801,161.6029351,93.09277838,129.6960451,141.9070558,7
235,IMG_236,4.545330442,101.708504,159.2192243,110.9337898,128.7115848,135.7298685,8
236,IMG_237,5.124450709,104.2407761,162.1401211,116.0379828,133.2000321,140.1952943,8
237,IMG_238,5.583616616,104.2153221,162.6723323,113.1167708,132.5163085,139.7750193,8
238,IMG_239,5.250974214,101.111019,160.0098665,111.7722711,131.7572551,139.0021785,8
239,IMG_240,5.083823895,102.7945444,161.3398557,113.7905726,131.2596162,137.418614,8
240,IMG_241,4.889393031,102.9129355,159.1158291,100.698999,130.4220037,140.1978918,9
241,IMG_242,5.767433336,102.2335746,159.6503253,107.7257084,132.1565791,142.0725965,9
242,IMG_243,5.929800531,100.4133208,156.6125332,100.1854293,128.4170876,137.3194932,9
243,IMG_244,4.738549782,103.0693434,161.037668,102.6680935,131.107525,140.1991268,9
244,IMG_245,4.514128798,102.786695,160.6904952,103.6059881,130.8678359,140.5927894,9
245,IMG_246,4.956119194,101.9930755,156.966856,113.9637838,129.7335582,134.9778367,10
246,IMG_247,5.876816831,102.9074922,158.2894082,117.3876977,129.7551594,134.761182,10
247,IMG_248,5.840311749,100.0032336,156.1385457,115.0778028,127.2110791,134.372909,10
248,IMG_249,5.407345991,100.2537932,157.0012437,117.7981209,129.6901951,135.9604914,10
249,IMG_250,5.776389008,102.4436264,158.2582827,118.7985618,130.126359,135.5289787,10
250,IMG_251,10.76155403,108.8377482,191.3153724,11.9927316,116.2075679,189.5431479,1
251,IMG_252,11.26761924,110.0792514,198.6374321,11.71739047,118.6454976,190.7996692,1
252,IMG_253,11.68485995,111.9617077,201.835479,11.29396563,114.2251798,189.2373692,1
253,IMG_254,11.84515999,114.2348561,199.2778024,12.20071567,122.4214206,195.248509,1
