,ImageName,HReference,SReference,VReference,HSample,SSample,VSample,Dilution Factor
0,IMG_1,19.12247445559203,254.93231309815525,210.25650746682695,27.090516194823483,35.39741659787306,189.27839557131065,10
1,IMG_2,18.897729899671738,253.76101530352767,208.64247075685424,28.881466167032777,36.9359090321747,185.69100228281002,10
2,IMG_3,19.278502821208598,254.4872722573976,210.16126114485076,28.743420769263903,34.79312572683809,188.28595425765602,10
3,IMG_4,19.509318860700912,253.7242206235012,207.24632925238757,28.21212904337339,38.398285738898224,187.15488650557782,10
4,IMG_5,18.212125036812655,250.86347763894148,214.45626656569482,27.97562131196968,37.55588577335573,188.6273851057415,10
5,IMG_6,18.09461904160882,252.34380916319577,215.17240944086836,26.59455593420001,69.22777567419749,187.45698178299466,9
6,IMG_7,17.646227038456455,248.83652702524117,208.16140258138407,27.062929297083866,67.23222144531732,185.4507465142105,9
7,IMG_8,18.29346724813885,251.44857054755298,215.05356592220608,26.62889262178576,73.13309213076624,187.97687039669208,9
8,IMG_9,18.582617505836748,253.2314875996652,200.9237919034404,27.874746952663997,74.01813326441831,183.24723263126157,9
9,IMG_10,18.621199114444494,254.28581755749335,206.04784710613112,27.58439936253607,80.79807899384072,184.02097600895894,9
10,IMG_11,17.89526562722146,242.9275389791953,210.65996872186153,29.69972439343966,47.81611168842904,182.70211900781638,8
11,IMG_12,16.984149545591592,242.71395959857,212.14562604987725,27.544770287500516,50.1237609509316,184.1809731419405,8
12,IMG_13,17.83623838365158,253.39197373896158,205.556058994868,30.332029113551265,48.85489503134335,179.63557574992637,8
13,IMG_14,17.073751525095712,245.32180571332407,206.66620387900207,29.706661426606406,46.626488504617804,176.10249557869915,8
14,IMG_15,17.711977786192097,252.1024864319071,207.8592284067483,29.415991444906016,52.58178752107926,184.79364948792826,8
15,IMG_16,17.06516777545768,245.66634293206428,211.40193269557616,28.602341121273874,95.88332306525757,185.8375906355149,7
