,ImageName,HReference,SReference,VReference,HSample,SSample,VSample,Dilution Factor
0,IMG_1,24.7603217901891,195.8842757409034,212.45069120162745,30.327906275573934,69.60839040358358,195.60537537149503,1
1,IMG_2,24.27040282736485,218.37455371632586,197.22665801146815,30.907332768839964,74.3051651143099,192.32426756985606,1
2,IMG_3,24.652937718297196,202.47127986997268,200.92315938721168,30.94355756413174,67.60548818155216,189.6839418668921,1
3,IMG_4,25.601763979537836,177.33910742635385,197.158228964544,29.991873693986534,81.60184417393612,179.486351122757,1
4,IMG_5,24.035052578868303,203.51088397301834,202.40719903384488,29.621876895525837,72.45157563328615,190.00303284133906,1
5,IMG_6,24.68910266420964,198.49901614767154,188.83399444045352,30.549395633569667,76.423337601899,180.57000968235624,1
6,IMG_7,24.408588991182935,214.07737880010012,201.32915194837705,30.29744616925388,83.72255441986509,189.80965565996053,1
7,IMG_8,24.596028402936575,191.13760982067637,198.9672644120833,30.028297645806223,72.77283804566426,186.40399858038566,1
8,IMG_9,22.73599240265907,191.17146776406037,231.15236889310964,21.64177053685347,82.51467268623024,216.68995976052605,1
9,IMG_10,22.80943336498892,213.84499314128945,212.4619605360346,23.042152126551102,75.19958321492848,207.2175807521076,1
10,IMG_11,23.33445476486506,190.20639215973085,191.67797849776932,27.65643430682868,42.9843672280253,181.84402757052513,1
11,IMG_12,25.088076497755807,157.6294152084824,178.35829050933455,30.14696768481629,50.76728008600519,163.61202807816355,1
12,IMG_13,22.59964681052677,206.01287849420683,209.65839686436664,23.325213513399806,76.23080482982036,198.32315200471203,1
13,IMG_14,22.93104402254729,196.6582287235882,194.34868762319743,23.746079593564776,76.77822184589331,186.44812870448771,1
14,IMG_15,22.95274139734077,205.94920571684676,203.09571236492206,25.674388605213654,76.79720505240526,191.7848427841978,1
15,IMG_16,24.03537935198229,182.70251559669953,171.40897564902394,33.315268225584596,42.513067400275105,161.38549813322854,1
16,IMG_17,25.070138692329465,180.73608831021795,180.81183130484007,37.515614082235956,51.01730717549046,170.04235420585863,1
17,IMG_18,24.084193103448275,208.33064827586207,162.8806620689655,36.40387656440609,57.761171101974426,162.9361586770885,1
18,IMG_19,24.529907544567603,193.2703682893191,166.06977575726617,37.51804011071724,48.71733113193804,162.92468314475792,1
19,IMG_20,27.21423235894627,155.29161894327973,165.42472984413126,35.94831013916501,61.29548291645476,157.82098109020296,1
20,IMG_21,24.290877874666787,196.76406271178783,172.9960692179099,36.53889519962977,55.684925743615636,165.8810635701965,1
21,IMG_22,24.829213810518137,190.25270723061234,159.03962511533047,36.45462300364912,59.56300649258329,156.7980190512298,1
22,IMG_23,24.217452532413926,198.7962900014568,174.32724712280873,35.23941359758901,68.22700107268734,168.95709250651274,1
23,IMG_24,25.04156148020442,178.8926790222277,168.1743119266055,37.575826409229485,50.68103293681631,165.9349632374918,1
24,IMG_25,24.974500748064788,197.65458921485722,200.24621088922137,32.40096053198695,61.18865833384644,191.5479958130657,2
25,IMG_26,24.94091692519821,207.59413995174077,194.6244743192003,32.64541729005399,65.7031809015807,185.4506602484876,2
26,IMG_27,24.927470240031223,211.46737787029207,196.91081766733885,32.93404020035126,63.291354973004616,184.8506472386652,2
27,IMG_28,24.95420320666135,194.95570909735142,202.25688723536186,31.756955740090746,58.353908055817136,193.10718260422908,2
28,IMG_29,25.80934851468196,191.08809177296465,199.57717661159148,31.432634109941134,69.68874885996186,196.04410911201393,2
29,IMG_30,25.02262904870587,203.3422522216287,187.4132472199291,32.88917001762075,54.05055799033118,181.79532824289524,2
30,IMG_31,24.47478365868384,207.89989937613203,189.44934594485812,31.485369289595493,68.88524854095391,185.92577983497685,2
31,IMG_32,23.902019967494777,228.0924408769777,185.1953961988789,30.471756940528707,80.08361803044878,174.1576171680653,2
32,IMG_33,24.206992462381443,187.55675465190666,188.47826328818178,26.133878281967593,66.66800496808295,183.71728141879206,2
33,IMG_34,22.898966750301284,208.55329237212794,196.83240808424048,23.635491166941744,70.85215070195815,190.3726796666463,2
34,IMG_35,22.97759056444819,225.0947406426766,188.2093874112408,24.87257814682207,70.43952667530027,182.0454026053173,2
35,IMG_36,23.00108189981608,200.6823181506726,193.1990695661582,21.87643946467476,52.61756060448871,186.6117854549227,2
36,IMG_37,22.469979296066253,212.3803877282138,190.23489553924335,23.888010540184453,71.07133446263882,185.04434406173536,2
37,IMG_38,22.956365167947773,216.00602295461724,198.1417289670422,24.4255773685039,74.54534619622659,191.00487980390835,2
38,IMG_39,23.055200269269605,208.88993604846854,206.51944554940178,24.41888525377435,76.33847585316805,198.30500945463277,2
39,IMG_40,22.960150023441162,227.45104403332252,195.34252948177,23.413682426340653,75.37981896209745,189.3552958995997,2
40,IMG_41,24.02561976618854,218.41605173700356,154.44017908962772,35.47339033327517,64.5548769848194,155.4518699470715,2
41,IMG_42,25.106338927800536,194.5114752654068,153.5283908197877,39.634293242988896,40.88304159608507,156.1821193299454,2
42,IMG_43,24.187087180551234,207.26012380260747,161.47356226441192,35.41990005411083,61.85943915714422,160.21367412547346,2
43,IMG_44,26.047081941442325,184.36671251719395,161.98145018667714,35.06075663466968,70.76886881234708,163.40143045360438,2
44,IMG_45,24.500567966679288,201.42997181202406,161.44629559510287,36.586064561651085,56.204903863115184,160.58722878814606,2
45,IMG_46,24.020552709795737,208.84961740340228,156.58350724087776,36.743439071759376,60.54723370350082,153.9006523579503,2
46,IMG_47,24.21350734375673,207.44230520739114,161.37601757332988,36.73913043478261,55.842253645213866,159.9547156512929,2
47,IMG_48,24.458926199962058,205.5904635426548,158.34376778599886,35.86719109158707,53.78290851509424,156.15538642284312,2
48,IMG_49,24.876215669493504,238.7825410410021,204.4348401151482,29.887108068155296,67.97650354002957,196.55551233175134,3
49,IMG_50,25.025262026337007,207.4202096210696,198.22047836603065,30.771670838228534,57.71967104254993,195.36593962302703,3
50,IMG_51,25.00328262980258,224.99103056082112,201.41462850802165,30.16251750779379,81.0473049292911,188.42380156327656,3
51,IMG_52,24.27849269169135,235.64453940659448,203.7044626814937,28.9264489834605,96.12634472299891,194.59200985735274,3
52,IMG_53,24.466113953078143,226.72951137766802,200.0424060680896,29.96647917547225,80.0349188802549,191.73804337224047,3
53,IMG_54,24.73758894418624,223.2497018056184,191.55809649158886,30.285281980742777,71.06700727058362,186.06048339555906,3
54,IMG_55,24.35050745398922,225.87481182926237,196.18642257077647,30.350789062129756,74.50537889199563,180.90697123359084,3
55,IMG_56,25.086870061227692,221.94730231827936,202.31901198388195,30.0353130878796,67.89943563558184,190.95737704918034,3
56,IMG_57,22.64386429407056,231.29708761775754,205.8685425774275,21.784027736266363,89.08183394106044,199.2123259011298,3
57,IMG_58,22.97225946645707,216.53696426094595,204.6795506033566,21.53599334227195,89.19302787923621,202.69161773544778,3
58,IMG_59,22.376941682343457,230.83488309594196,207.50529427573233,21.702916687950147,113.95167798947745,198.99085661745926,3
59,IMG_60,22.359933422719497,238.13560497480236,206.30681030098478,23.650279723360203,131.37597462666844,202.79216774591427,3
60,IMG_61,23.298848395810626,231.30723662385668,206.36917681626463,23.090953236536688,99.52318749089497,198.9632884960909,3
61,IMG_62,22.041618031797142,230.4750654055142,195.59323807607166,22.742935743761052,111.50536451169188,188.84503831794066,3
62,IMG_63,22.023649510846447,228.02557776832555,193.8902311073302,22.017025498029334,107.42341207067592,189.27208622677426,3
63,IMG_64,21.940082234510136,231.70080816673754,196.58885580604,22.384464163822525,112.91836177474403,191.18331740614335,3
64,IMG_65,24.989019310867096,231.2822163321974,175.71816231225546,32.493645374902314,73.7917574959898,170.02085304158268,3
65,IMG_66,25.707279172534356,206.09007915311028,180.07206332248822,34.65295483626368,56.68333254348135,184.14236292118858,3
66,IMG_67,24.943911939034717,223.0159187129551,183.30624894157495,32.12527229573755,84.69073706798453,177.6541275156875,3
67,IMG_68,24.09813962055627,235.41108859826855,179.5484988027261,29.877338589756892,110.28011204481793,176.30068817650516,3
68,IMG_69,23.739536074079243,223.8119168935111,191.99176380261045,29.476824260292723,87.2476782141729,184.31115088975466,3
69,IMG_70,24.191152700978307,218.8221749610095,176.8882744931235,31.47696928327645,73.95672354948806,173.3541023890785,3
70,IMG_71,24.080235770860195,219.6101676183459,175.49983422361393,31.586570016949764,79.21529806339933,167.41631504922645,3
71,IMG_72,24.926336214499912,220.7976362674193,181.89613688481214,32.54859533340546,71.8608676836525,176.9074975657254,3
72,IMG_73,24.285539153087807,243.15625478878275,215.44838330694182,30.080280555423915,71.92057248471636,209.38273067627128,4
73,IMG_74,25.08119791126327,224.66230936819173,194.14085140228931,30.23805582964637,91.37365120794475,191.183690358723,4
74,IMG_75,25.242679232581622,219.11067592790917,197.06079985312567,29.479605006453163,86.63183960140469,194.48131584476394,4
75,IMG_76,24.92686648219504,222.0943908557242,204.85311231218805,28.97432772149006,96.84858180340774,193.67187222264545,4
76,IMG_77,24.276368600682595,238.65531740614335,196.5036723549488,29.254415681812304,84.05381571801702,185.8902480022757,4
77,IMG_78,24.786144860542837,216.9702657962957,198.09391885560797,29.766041430800772,71.7239374560142,192.4077292616505,4
78,IMG_79,25.51561256644492,213.17165865614157,202.50545882802305,30.56507461716032,68.11633124166856,198.86881035211496,4
79,IMG_80,25.504121972180666,209.85179998090206,196.28446382531752,29.55883757201515,85.37056370754686,187.07741031925391,4
