,ImageName,LReference,aReference,bReference,LSample,aSample,bSample,Dilution Factor
0,IMG_1,159.4910536779324,148.92172546118638,196.1951546534745,192.42917496236586,124.90234545719419,140.3429320642937,10
1,IMG_2,157.42036155162052,149.6593924823154,195.4135651209025,189.95817719774303,123.94413576258776,141.1177154671146,10
2,IMG_3,159.7966576215704,148.62157040099927,196.18968859025713,192.413360899341,124.27225739759659,140.49687728819399,10
3,IMG_4,158.6736926248475,147.54453279481677,195.6372586141613,190.80281690140845,123.99078261618642,141.53223930740407,10
4,IMG_5,159.09672262190247,152.37018806007825,195.7970465732677,192.039626136021,124.19171296894517,141.25330576732566,10
5,IMG_6,159.20131263410323,152.82851613446084,196.07745382641255,186.99116496276662,123.03487736126888,151.5234969918802,9
6,IMG_7,152.90101757631822,153.53940355050437,193.50852385357473,185.83259984370503,122.7556862583803,150.8838070168223,9
7,IMG_8,159.71120214968502,152.25545130170477,196.0735650411876,187.18960244648318,122.71103071025541,152.94081922729035,9
8,IMG_9,150.6045989163473,150.2242191973922,193.08920311880533,184.34664254640995,121.70121032002412,153.567816686049,9
9,IMG_10,154.18072561333756,150.71775177337008,194.44824470248045,184.34517810225265,121.35891803419908,155.86949218245252,9
10,IMG_11,156.72494194587935,151.944031088574,193.8230889531302,187.40432837843943,122.20010843536801,145.11909817918945,8
11,IMG_12,155.5018736270836,154.1390360511694,193.49213938062627,187.06198330111462,123.22296713692263,145.29782420927077,8
12,IMG_13,150.84321975125988,153.500809098895,193.47501040270006,184.5152930287349,121.9976439900711,145.38419790483402,8
13,IMG_14,150.9143422104422,154.29016786570745,192.3955151668139,180.93747298093928,122.62204755354686,144.13444684613873,8
14,IMG_15,152.41730825865622,153.68635617821533,193.81564222306366,188.5179944885452,122.14469625303336,146.88393040760087,8
15,IMG_16,153.52003107852184,155.3745447482154,193.38702471713688,186.40685275579355,119.3996493057201,162.07421449220416,7
16,IMG_17,154.3131443894771,154.2093023255814,193.97873225761708,176.65195365842914,120.80485441169992,160.6113387075459,7
17,IMG_18,154.22633334993276,156.45296548976646,194.18066829341168,180.98985092021562,120.6186082649444,162.25984557859468,7
18,IMG_19,156.21303355509153,153.458116835818,194.48399941727772,178.4102262859478,120.00311590131277,161.65173417786178,7
19,IMG_20,153.7134732951045,152.6421970522724,194.37149898109095,177.4959954504526,119.62821667219563,163.46718165015875,7
20,IMG_21,158.59490353770389,153.82266299191252,195.30212804409706,175.33468953719543,121.03162420823894,172.7664709417911,6
21,IMG_22,148.8519580193259,155.41629294003423,192.08696657265708,175.2686208331407,120.50561745804244,174.06426556937444,6
22,IMG_23,150.89517084498365,156.02037818112885,192.7396805838586,174.84964630819732,121.29945905959592,175.09048037357252,6
23,IMG_24,150.9017627349099,156.99689214781722,192.83712912154616,177.95879456015905,121.0725161523517,174.40333438756608,6
24,IMG_25,152.61715342936435,155.15259239681072,193.37764856173737,174.86231448518194,121.33482823986314,174.09903370474825,6
25,IMG_26,156.31069115897978,154.87419056429232,194.57900533016166,176.4790978370997,123.18096119113696,183.6140258138408,5
26,IMG_27,153.65126380239678,157.64603066617823,193.65492699774975,174.64673074050097,122.40316717294955,182.75937453314077,5
27,IMG_28,160.00614467085347,153.23173541770208,195.48032349884787,174.63588307052817,122.12031807707947,181.79627705236524,5
28,IMG_29,155.50829141975,154.64678053881778,194.22125392161746,179.75814878172824,122.78755374728374,184.25465809792408,5
29,IMG_30,157.98404919321283,153.51047205141245,194.88797447870914,176.79476628600491,122.13800915437606,183.04563317767813,5
30,IMG_31,155.45254057053032,153.68412779139118,193.9504369134033,172.5958820958578,124.98965667945419,190.25207594813773,4
31,IMG_32,160.8764621572888,153.4292847565768,195.8931064774146,180.74607838491067,125.11326477418132,192.98957395384105,4
32,IMG_33,152.2336716359928,154.89379886369156,193.1123197202933,169.8573053409791,126.19425619638879,190.727595848538,4
33,IMG_34,158.53421065410578,153.41441266449763,195.37119409508085,174.26169068811276,125.64428681154837,191.70862512989655,4
34,IMG_35,158.61750627932327,155.03980853987963,195.28055542391357,172.13939618105323,124.95589255166675,190.4779231587221,4
35,IMG_36,158.45505448593704,156.13171383038292,195.48356807511738,165.13387184988852,133.06369641129203,194.1505322058143,3
36,IMG_37,154.42325938643654,156.89775448425428,194.14141779243664,170.24090724257894,131.97804183797948,196.16866217864728,3
37,IMG_38,157.41141823383398,153.41512053515083,194.819176237957,168.28272386613259,132.4811991213335,195.1025541628979,3
38,IMG_39,153.90993573443063,157.93934069998613,193.88261130889083,163.77854130136012,132.99848348419505,193.70489550258281,3
39,IMG_40,156.15572549808815,155.47055745622862,194.67735962970417,169.7721875628899,130.74791708593278,195.56369490843227,3
40,IMG_41,163.02928888314597,154.89382779859585,196.91893870870481,164.13955291381316,138.94202524012576,195.6494379118749,2
41,IMG_42,157.36586838398068,155.4130408532904,194.97548802575972,163.1466705054909,138.61991527166538,195.43030477522314,2
42,IMG_43,145.57595727268813,151.9897488908989,191.6207089632597,158.47473600067315,133.8187134502924,194.52008919180446,2
43,IMG_44,152.7366317472338,154.67112625688924,193.17964575707856,163.7200123342584,138.1491564248271,195.35505043830668,2
44,IMG_45,144.3868879744787,151.98802533635396,191.22682509593602,156.65193608131972,134.00137830038335,193.92669164836113,2
45,IMG_46,158.2057980867285,154.1467003350653,194.80274850677415,155.84435817540992,146.00633396332432,193.54502732798693,1
46,IMG_47,163.46676357869697,152.17950751068236,196.4263248315052,164.62166535669704,144.99875167599058,196.48444218410467,1
47,IMG_48,161.0715131984266,152.53310269655466,195.81048291550164,162.60443377432702,144.8929866680288,196.04770904632989,1
48,IMG_49,157.6378866605157,153.38576215218762,194.71179527023745,162.07175937453314,146.08007569344156,195.8602659230118,1
49,IMG_50,155.60333633477086,154.37012463864272,194.26709634614474,156.39798418789587,146.6558324471774,194.05372416662814,1
50,IMG_51,110.35266653250152,151.8577178506742,178.09273495673173,145.93764652654957,124.93793443836631,140.07399333689796,10
51,IMG_52,109.28867194695155,150.16249769755018,177.5986001105176,141.30638150555833,124.63976612686079,139.89371850598147,10
52,IMG_53,110.5837391829342,150.92747031595894,178.0429060173073,142.90404507949285,124.64938619440531,140.65610786878648,10
53,IMG_54,111.51109743431934,150.30949724968266,178.37373543101128,140.73389709285203,124.35373806218183,141.83747738651184,10
54,IMG_55,108.21275910646006,150.80470919702154,177.26818273294427,140.19533105252566,124.84234252364661,140.1113704970819,10
55,IMG_56,108.54036770583534,151.42302999705498,177.46619546468088,137.1611072265866,123.17069057705754,154.762390490684,9
56,IMG_57,108.37790299859127,151.42414972831557,177.37089957737976,138.2538657018564,122.71016927251583,152.6411681095749,9
57,IMG_58,105.41106040753625,151.2850042922333,176.2627750417928,136.933316504691,123.4639656695696,153.83916025074677,9
58,IMG_59,107.25003467566692,151.26806602246984,177.0337972166998,141.32142706887123,122.74778072279018,151.38604905549244,9
59,IMG_60,112.29992140182163,150.99329603772713,178.71330158583385,142.36018614738174,123.09081462070212,151.36334884561515,9
60,IMG_61,105.52189190438763,152.3779647695224,176.31092514679366,137.49594009003323,124.73414952248727,144.81332828474063,8
61,IMG_62,106.82031355893913,152.0454524917544,176.92075181855148,138.38127750586105,125.37194093694731,143.84119606794718,8
62,IMG_63,104.06599329869373,152.5370271451464,176.10095663575,136.89713322091063,124.6090157528894,146.02315633611647,8
63,IMG_64,108.41698645337279,151.82195200887696,177.42979333302512,140.64495843562906,124.84554421329199,144.88439505534737,8
64,IMG_65,104.07265169656169,151.90362806668776,175.81611168842903,134.93164491536373,124.73751992074773,145.54490244217598,8
65,IMG_66,110.45655616284415,151.7374980844869,178.02462072840578,133.25698052736368,124.18273199630943,161.0813383188462,7
66,IMG_67,108.08356460067839,150.87996123518786,176.8111536936699,131.55161975330952,123.8683413906836,159.7648307956445,7
67,IMG_68,104.831382899258,152.97037000149396,176.10064239828694,131.39789583432065,124.57760295720583,159.3591298990569,7
68,IMG_69,105.60511350501642,152.04267418743353,176.34120856257803,128.89273934848416,124.53517372249583,159.42131658609316,7
69,IMG_70,105.86461418928762,152.32316806681882,176.46035060457436,137.91469751050468,123.45122667510053,161.31261012967062,7
70,IMG_71,108.94163759314296,151.9555498126373,177.51686264375243,128.61630695443645,125.58618368463124,169.84955193739745,6
71,IMG_72,106.23361987414141,152.36124706946902,176.5604820466417,132.9609746512085,124.9051680094321,171.27054431125958,6
72,IMG_73,104.30827271495053,152.9942167803732,176.01355442100032,127.82954316763936,125.53399074260415,170.4505131817267,6
73,IMG_74,108.69902394017384,152.83474967221872,177.5859758170252,136.1654993172107,124.86626139817629,170.96546407647241,6
74,IMG_75,107.58712839243609,152.06976744186048,177.169309723057,131.59609783161497,125.054602616857,171.07716491747192,6
75,IMG_76,108.7123228668648,151.36313907912304,177.50842055390447,129.84152079804252,126.0729531338227,177.99766610201394,5
76,IMG_77,111.85150293789151,154.07415141067352,178.8700529306075,136.59917301977,126.75815135461085,179.9177326958694,5
